ID,toast,butoast,engmuff,jdonut,cintoast,bluemuff,hrolls,toastmarm,butoastj,toastmarg,cinbun,danpastry,gdonut,cofcake,cornmuff
42,0,15,25,3,14,24,28,7,8,16,26,21,20,16,27
42,15,0,15,24,3,17,8,7,6,2,17,25,18,22,11
42,25,15,0,22,17,2,4,20,21,16,10,11,24,11,3
42,3,24,22,0,22,21,27,11,12,25,17,5,2,13,26
42,14,3,17,22,0,19,18,6,5,4,12,19,23,21,16
42,24,17,2,21,19,0,8,18,19,18,7,10,22,7,4
42,28,8,4,27,18,8,0,23,22,9,18,22,25,21,5
42,7,7,20,11,6,18,23,0,2,8,20,17,11,21,25
42,8,6,21,12,5,19,22,2,0,7,19,16,12,20,24
42,16,2,16,25,4,18,9,8,7,0,18,26,17,23,12
42,26,17,10,17,12,7,18,20,19,18,0,2,4,6,12
42,21,25,11,5,19,10,22,17,16,26,2,0,11,7,16
42,20,18,24,2,23,22,25,11,12,17,4,11,0,11,24
42,16,22,11,13,21,7,21,21,20,23,6,7,11,0,16
42,27,11,3,26,16,4,5,25,24,12,12,16,24,16,0
71,0,20,22,11,10,5,22,10,11,18,14,7,8,9,12
71,20,0,5,24,19,20,6,18,14,3,23,25,27,24,19
71,22,5,0,26,20,21,4,17,16,3,22,24,25,23,16
71,11,24,26,0,16,17,28,16,19,27,6,4,2,5,19
71,10,19,20,16,0,4,23,5,13,16,10,13,14,12,12
71,5,20,21,17,4,0,20,7,10,20,12,13,14,11,5
71,22,6,4,28,23,20,0,21,18,6,26,25,27,24,19
71,10,18,17,16,5,7,21,0,2,16,16,15,17,14,8
71,11,14,16,19,13,10,18,2,0,19,15,15,18,16,9
71,18,3,3,27,16,20,6,16,19,0,23,21,24,22,19
71,14,23,22,6,10,12,26,16,15,23,0,8,3,7,17
71,7,25,24,4,13,13,25,15,15,21,8,0,6,2,20
71,8,27,25,2,14,14,27,17,18,24,3,6,0,7,18
71,9,24,23,5,12,11,24,14,16,22,7,2,7,0,16
71,12,19,16,19,12,5,19,8,9,19,17,20,18,16,0
101,0,21,15,8,16,15,24,11,10,24,7,3,7,9,13
101,21,0,6,27,20,12,3,7,6,3,24,23,24,22,19
101,15,6,0,28,21,8,4,12,11,2,25,25,26,24,21
101,8,27,28,0,11,21,25,22,24,26,4,8,2,8,13
101,16,20,21,11,0,13,19,12,13,22,7,8,9,10,18
101,15,12,8,21,13,0,14,10,9,16,19,18,20,19,2
101,24,3,4,25,19,14,0,12,8,7,23,21,23,20,16
101,11,7,12,22,12,10,12,0,2,13,19,20,21,19,18
101,10,6,11,24,13,9,8,2,0,12,20,21,22,20,19
101,24,3,2,26,22,16,7,13,12,0,26,24,25,22,19
101,7,24,25,4,7,19,23,19,20,26,0,7,6,9,17
101,3,23,25,8,8,18,21,20,21,24,7,0,5,2,13
101,7,24,26,2,9,20,23,21,22,25,6,5,0,5,17
101,9,22,24,8,10,19,20,19,20,22,9,2,5,0,14
101,13,19,21,13,18,2,16,18,19,19,17,13,17,14,0
112,0,15,16,17,9,24,20,8,10,13,21,10,17,22,20
112,15,0,7,21,5,20,11,7,6,2,27,26,24,23,11
112,16,7,0,25,12,8,9,12,11,5,24,21,21,19,2
112,17,21,25,0,25,17,27,15,13,24,6,4,2,8,27
112,9,5,12,25,0,20,16,4,3,7,17,22,24,21,21
112,24,20,8,17,20,0,9,14,12,24,9,9,15,11,3
112,20,11,9,27,16,9,0,18,17,15,21,26,22,23,5
112,8,7,12,15,4,14,18,0,2,9,22,20,20,23,18
112,10,6,11,13,3,12,17,2,0,10,20,19,20,22,15
112,13,2,5,24,7,24,15,9,10,0,21,26,23,27,10
112,21,27,24,6,17,9,21,22,20,21,0,7,7,2,13
112,10,26,21,4,22,9,26,20,19,26,7,0,4,6,20
112,17,24,21,2,24,15,22,20,20,23,7,4,0,5,17
112,22,23,19,8,21,11,23,23,22,27,2,6,5,0,10
112,20,11,2,27,21,3,5,18,15,10,13,20,17,10,0
